date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:49	8218/8218	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Apr%202023%2005:58:50%20GMT	https://instantfxoptions.sytes.net/dashboard/customer.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/dashboard/customer.0.delayed	(from )
00:58:50	43146/43146	U--MC-	200	updated ('OK')	text/html	date:Mon,%2017%20Apr%202023%2005:58:50%20GMT	https://instantfxoptions.sytes.net/register.php	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/register.html	(from )
00:58:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202023%2005:58:51%20GMT	https://instantfxoptions.sytes.net/robots.txt		(from )
00:58:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202023%2005:58:52%20GMT	https://instantfxoptions.sytes.net/data/design/cryptonode/images/favicon.png	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/data/design/cryptonode/images/favicon.png	(from https://instantfxoptions.sytes.net/register.php)
00:58:52	30915/30915	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:48:08%20GMT	https://instantfxoptions.sytes.net/data/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/data/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css	(from https://instantfxoptions.sytes.net/register.php)
00:58:52	41375/41375	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:18:10%20GMT	https://instantfxoptions.sytes.net/data/design/cryptonode/css/bootstrap.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/data/design/cryptonode/css/bootstrap.css	(from https://instantfxoptions.sytes.net/register.php)
00:58:52	324/324	U-----	200	untouched ('OK')	text/html	date:Sun,%2009%20Aug%202020%2002:19:24%20GMT	https://instantfxoptions.sytes.net/data/design/cryptonode/css/components.html	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/data/design/cryptonode/css/components.html	(from https://instantfxoptions.sytes.net/register.php)
00:58:53	35891/35891	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Oct%202021%2005:09:10%20GMT	https://instantfxoptions.sytes.net/images/bitcoin31.png	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/images/bitcoin31.png	(from https://instantfxoptions.sytes.net/register.php)
00:58:53	1716/1716	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:18:44%20GMT	https://instantfxoptions.sytes.net/data/design/cryptonode/css/button.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/data/design/cryptonode/css/button.css	(from https://instantfxoptions.sytes.net/register.php)
00:58:53	51302/51302	U-----	200	untouched ('OK')	text/css	date:Sun,%2009%20Aug%202020%2002:19:58%20GMT	https://instantfxoptions.sytes.net/data/design/cryptonode/css/core.css	C:/Users/ochuko/Documents/GitHub/instantfxoptionstrade/instantfxoptionstr/instantfxoptions.sytes.net/data/design/cryptonode/css/core.css	(from https://instantfxoptions.sytes.net/register.php)
